objectid,filename,title,format,subject,description,creator,producer,source,date,rightsstatement,rights,language,location,multiplecoins,rarity,value
coin011,CoinTableTennisfBackgroundRemoved.png,London 2012 - Table Tennis (obverse),image/png,Monarch,"Depicts sculptor, Ian Rank-Broadley's, portrait of Queen Elizabeth II. It was used for British coins from 1998-2015. Rank-Broadley is best known for his coin designs and the memorial statue of Princess Diana at Kensington Palace in 2021 to commemorate her 60th birthday.",Ian Rank-Broadley,The Royal Mint,Private Collection: Mary Nelson,2011,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,1/29,1/1737500,£4.50
coin012,CoinTableTennisbBackgroundRemoved.png,London 2012 - Table Tennis (reverse),image/png,Historical Event,"Depicts a design celebrating Table Tennis, one of the 26 different sports that made up the programme at the London 2012 Summer Olympic Games. Table Tennis first appeared as part of the 1988 Summer Olympic Games in Seoul, South Korea. The Royal Mint issued 29 coins for the event depicting various sports in the Summer Olympic and Paraolympic Games. The coins were released in the 2011, with the exception of the ""Athletics"" coin in 2009. The 2012 Games marked the third time London hosted, the first city to do so. The United States topped the charts with a total of 104 medals, 48 gold, 26 silver, and 30 bronze. ",Alan Linsdell,The Royal Mint,Private Collection: Mary Nelson,2011,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,1/29,1/1737500,£4.50
coin013,CoinCommonwealthGamesfBackgroundRemoved.png,The Glasgow 2014 Commonwealth Games (obverse),image/png,Monarch,"Depicts sculptor, Ian Rank-Broadley's, portrait of Queen Elizabeth II. It was used for British coins from 1998-2015. Rank-Broadley is best known for his coin designs and the memorial statue of Princess Diana at Kensington Palace in 2021 to commemorate her 60th birthday.",Ian Rank-Broadley,The Royal Mint,Private Collection: Mary Nelson,2014,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,1/6500000,£11.00
coin014,CoinCommonwealthGamesbBackgroundRemoved.png,The Glasgow 2014 Commonwealth Games (reverse),image/png,Historical Event,"Depicts a cycler, a runner, and two x's for the 2014 Commonwealth Games which were held in Glasgow, also known as the XX Commonwealth Games. The Commonwealth Games are a quadrennial international sporting competition between the Commonwealth Nations, first held in 1930, and inspired by the Inter-Empire Championships in 1911. In 2018, it became the first global multi-sport event to have an even number of women's and men's medal events. The Games marked the largest multi-sport event ever to be held in Scotland. England topped the chart with a total of 174 medals, 58 gold, 59 silver and 57 bronze. ",Alex Loudon;Dan Flashman,The Royal Mint,Private Collection: Mary Nelson,2014,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,1/6500000,£11.00
coin015,CoinBeatrixPotterfBackgroundRemoved.png,The 150th Anniversary of the Birth of Beatrix Potter (obverse),image/png,Monarch,"Depicts Royal Mint engraver, Jody Clark's, portrait of Queen Elizabeth II. Clark designed the fith and final portrait of Queen Elizabeth II for the obverse British coin design. This design was chosen from a design competition, which Clark submitted anonymously. Theis was the first time an employee of the Royal Mint designed the portrait of the monarch in over a century. ",Jody Clark,The Royal Mint,Private Collection: Mary Nelson,2016,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,1/15,1/6900000,£2.00
coin016,CoinBeatrixPotterbBackgroundRemoved.png,The 150th Anniversary of the Birth of Beatrix Potter (reverse),image/png,Cultural Contribution,"Depicts a profile portrait of Beatrix Potter, with her birth and death dates, and a portrait of Peter Rabbit, her most well-known creation. She produced 23 Tales and 12 other books. Apart from being a children's book author, Potter was also an illustrator, natrual scientist and conservationist. Her likeness and works have been adapted for stage and screen, and she left much of her estate to the National Trust.",Emma Noble,The Royal Mint,Private Collection: Mary Nelson,2016,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,1/15,1/6900000,£2.00
coin017,CoinTiggyWnklefBackgroundRemoved.png,Beatrix Potter - Mrs. Tiggy-Winkle (obverse),image/png,Monarch,"Depicts Royal Mint engraver, Jody Clark's, portrait of Queen Elizabeth II. Clark designed the fith and final portrait of Queen Elizabeth II for the obverse British coin design. This design was chosen from a design competition, which Clark submitted anonymously. Theis was the first time an employee of the Royal Mint designed the portrait of the monarch in over a century. ",Jody Clark,The Royal Mint,Private Collection: Mary Nelson,2016,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,1/15,1/8800000,£6.50
coin018,CoinTiggyWnklebBackgroundRemoved.png,Beatrix Potter - Mrs. Tiggy-Winkle (reverse),image/png,Pop Culture,"Depicts a portrait of Beatrix Potter's character, Mrs. Tiggy-Winkle, who is a hedeghog launderess. She lives in the Lake District and appears in The Tale of Mrs. Tiggy-Winkle, published in 1905. Mrs. Tiggy-Winkle befriends a human girl, Lucie. They have tea and deliver laundry to the neighborhood.",Emma Noble,The Royal Mint,Private Collection: Mary Nelson,2016,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,1/15,1/8800000,£6.50
coin019,CoinPeterRabbitfBackgroundRemoved.png,Beatrix Potter - The Tale of Peter Rabbit (obverse),image/png,Monarch,"Depicts Royal Mint engraver, Jody Clark's, portrait of Queen Elizabeth II. Clark designed the fith and final portrait of Queen Elizabeth II for the obverse British coin design. This design was chosen from a design competition, which Clark submitted anonymously. Theis was the first time an employee of the Royal Mint designed the portrait of the monarch in over a century. ",Jody Clark,The Royal Mint,Private Collection: Mary Nelson,2017,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,1/15,1/9700000,£4.00
coin020,CoinPeterRabbitbBackgroundRemoved.png,Beatrix Potter - The Tale of Peter Rabbit (reverse),image/png,Pop Culture,"Depicts a portrait of Beatrix Potter's most beloved character, Peter Rabbit, who first appeared in The Tale of Peter Rabbit, published in 1901. He is a mischievous young rabbit who lives with his mother and sisters, Flopsy, Mopsy and Cotton-Tail. He ventures into Mr. McGregor's garden looking for vegetables and gets chased out. His character has been adapted for stage and screen. He appears most recently in the 2021 feature film, a sequel to Peter Rabbit, released in 2018. ",Emma Noble,The Royal Mint,Private Collection: Mary Nelson,2017,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,1/15,1/9700000,£4.00
coin021,CoinTomKittenfBackgroundRemoved.png,Beatrix Potter - Tom Kitten (obverse),image/png,Monarch,"Depicts Royal Mint engraver, Jody Clark's, portrait of Queen Elizabeth II. Clark designed the fith and final portrait of Queen Elizabeth II for the obverse British coin design. This design was chosen from a design competition, which Clark submitted anonymously. Theis was the first time an employee of the Royal Mint designed the portrait of the monarch in over a century. ",Jody Clark,The Royal Mint,Private Collection: Mary Nelson,2017,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,1/15,1/9500000,£5.00
coin022,CoinTomKittenbBackgroundRemoved.png,Beatrix Potter - Tom Kitten (reverse),image/png,Pop Culture,"Depicts a portrait of Beatrix Potter's character, Tom Kitten, who first appears in The Tale of Tom Kitten, published in 1907. Tom's mother, Tabitha Twitchit, invites her friends for tea, but Tom, along with his siblings, Mittens and Moppet get into trouble. They play in the garden beforehand and ruin their clothes. The book was inteded to teach children about manners. This cat family later appear in other Tales, and have been adapted for animation.",Emma Noble,The Royal Mint,Private Collection: Mary Nelson,2017,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,1/15,1/9500000,£5.00
coin023,CoinJeremyFisherfBackgroundRemoved.png,Beatrix Potter - Mr. Jeremy Fisher (obverse),image/png,Monarch,"Depicts Royal Mint engraver, Jody Clark's, portrait of Queen Elizabeth II. Clark designed the fith and final portrait of Queen Elizabeth II for the obverse British coin design. This design was chosen from a design competition, which Clark submitted anonymously. Theis was the first time an employee of the Royal Mint designed the portrait of the monarch in over a century. ",Jody Clark,The Royal Mint,Private Collection: Mary Nelson,2017,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,1/15,1/9900000,£4.00
coin024,CoinJeremyFisherbBackgroundRemoved.png,Beatrix Potter - Mr. Jeremy Fisher (reverse),image/png,Pop Culture,"Depicts a portrait of Beatrix Potter's character Mr. Jeremy Fisher. He is a frog who is intent on fishing to catch dinner for his dinner party. He first appears in The Tale of Mr. Jeremy Fisher, published in 1906. He has a challenging fishing adventure, where he gets pricked by a stickleback fish and almost swallowed by a trout. He ends up serving grassphopper and ladybird sauce. His likeness has been adapted for stage and screen. ",Emma Noble,The Royal Mint,Private Collection: Mary Nelson,2017,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,1/15,1/9900000,£4.00
coin025,CoinBenjaminBunnyfBackgroundRemoved.png,Beatrix Potter - Benjamin Bunny (obverse),image/png,Monarch,"Depicts Royal Mint engraver, Jody Clark's, portrait of Queen Elizabeth II. Clark designed the fith and final portrait of Queen Elizabeth II for the obverse British coin design. This design was chosen from a design competition, which Clark submitted anonymously. Theis was the first time an employee of the Royal Mint designed the portrait of the monarch in over a century. ",Jody Clark,The Royal Mint,Private Collection: Mary Nelson,2017,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,1/15,1/25000000,£3.50
coin026,CoinBenjaminBunnybBackgroundRemoved.png,Beatrix Potter - Benjamin Bunny (reverse),image/png,Pop Culture,"Depicts a portrait of Beatrix Potter's character, Benajmin Bunny, who first appears in The Tale of Benjamin Bunny in 1904. His Tale is a sequel to The Tale of Peter Rabbit, where Peter, Benjamin's cousin, has gone back to Mr. McGregor's garden in hopes of retriving his lost clothes. He appears in The Tale of Mrs. Tiggy-Winkle as well as in The Tale of the Flopsy Bunnies and The tale of Mr. Tod. His likeness has been adapted for stage and screen. ",Emma Noble,The Royal Mint,Private Collection: Mary Nelson,2017,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,1/15,1/25000000,£3.50
coin027,CoinQE2CoronationfBackgroundRemoved.png,Isle of Man Sapphire Jubilee - The Imperial State Crown (obverse),image/png,Monarch,"Depicts Royal Mint engraver, Jody Clark's, portrait of Queen Elizabeth II. Clark designed the fith and final portrait of Queen Elizabeth II for the obverse British coin design. This design was chosen from a design competition, which Clark submitted anonymously. Theis was the first time an employee of the Royal Mint designed the portrait of the monarch in over a century. ",Jody Clark,The Royal Mint,Private Collection: Mary Nelson,2018,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,Isle of Man,1/5,1/65000,£7.25
coin028,CoinQE2CoronationbBackgroundRemoved.png,Isle of Man Sapphire Jubilee - The Imperial State Crown (reverse),image/png,Historical Event,"Depicts the St Edwards Crown, which is the centerpiece of the Crown Jewels, made in 1661, to celebrate the, Sapphire Jubilee/65th Anniversary of the Crowning of Queen Elizabeth II. She was the first monarch to have a Sapphire Jubilee, and subsequently celebrated her Platinum Jubilee/70th Anniversary of her Coronation in 2022. Her Sapphire celebration did not have any offical engagments or large public celbration. She was the longest reigning monarch in British History. ",?,The Royal Mint,Private Collection: Mary Nelson,2018,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,Isle of Man,1/5,1/65000,£7.25
coin029,CoinPeoplesActfBackgroundRemoved.png,The 100th Anniversary of the Passing of the Representation of the People Act 1918 (obverse),image/png,Monarch,"Depicts Royal Mint engraver, Jody Clark's, portrait of Queen Elizabeth II. Clark designed the fith and final portrait of Queen Elizabeth II for the obverse British coin design. This design was chosen from a design competition, which Clark submitted anonymously. Theis was the first time an employee of the Royal Mint designed the portrait of the monarch in over a century. ",Jody Clark,The Royal Mint,Private Collection: Mary Nelson,2018,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,1/9000000,£3.50
coin030,CoinPeoplesActbBackgroundRemoved.png,The 100th Anniversary of the Passing of the Representation of the People Act 1918 (reverse),image/png,Historical Event,"Depicts women and young men holding up ballots, as it celebrates the centennary of the passing of the Representation of the People Act in 1918. This act granted the right to vote to men over 21, regardless of whether they owned property, and wome over the age of 30 who occupied property valuing over £5 or whose husbands did. It also allowed women over 30 to particpate in local government franchise. Unfortunately, women didn't receive electoral equity until 1928, when any woman over 21 was able to vote.",Stephen Taylor,The Royal Mint,Private Collection: Mary Nelson,2018,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,1/9000000,£3.50
coin031,CoinPaddingtonfBackgroundRemoved.png,Paddington at the Station (obverse),image/png,Monarch,"Depicts Royal Mint engraver, Jody Clark's, portrait of Queen Elizabeth II. Clark designed the fith and final portrait of Queen Elizabeth II for the obverse British coin design. This design was chosen from a design competition, which Clark submitted anonymously. Theis was the first time an employee of the Royal Mint designed the portrait of the monarch in over a century. ",Jody Clark,The Royal Mint,Private Collection: Mary Nelson,2018,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,1/4,1/5001000,£4.00
coin032,CoinPaddingtonbBackgroundRemoved.png,Paddington at the Station (reverse),image/png,Pop Culture,"Depicts an image of Paddington Bear perched on his suitcase in Paddington station. Knapton's design appears to be based off the 2014 film Paddington's character, as he bears a sharper resemblance to the film's bear than the original book illustrations. Additionally, the train station has modern trains, rather than those of 1958, when Paddington first appeared in the children's book, A Bear Called Paddington by Michael Bond, the first of over 20. Paddington's inpsiration came from a teddy bear in a shop and refugee children from WWII. The character has been adapted for telvision and film, with the most recent films being nomianted for BAFTA awards.",David Knapton,The Royal Mint,Private Collection: Mary Nelson,2018,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,1/4,1/5001000,£4.00
coin033,CoinSherlockHolmesfBackgroundRemoved.png,Sherlock Holmes (obverse),image/png,Monarch,"Depicts Royal Mint engraver, Jody Clark's, portrait of Queen Elizabeth II. Clark designed the fith and final portrait of Queen Elizabeth II for the obverse British coin design. This design was chosen from a design competition, which Clark submitted anonymously. Theis was the first time an employee of the Royal Mint designed the portrait of the monarch in over a century. ",Jody Clark,The Royal Mint,Private Collection: Mary Nelson,2019,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,1/8602000,£4.00
coin034,CoinSherlockHolmesbBackgroundRemoved.png,Sherlock Holmes (reverse),image/png,Pop Culture,"Depicts an image of Sherlock Holmes' profile with his signature deer stalker hat and pipe, surrounded by the titles of his most famous adventures. Sherlock Holmes first appeared as a consulting detective in 1887 in Sir Arthur Conan Doyle's A Study in Scarlet. There are four novels and 56 short stories about Sherlock Holmes, and the Guinness World Records states that his character is the most portrayed human literary character in film and television history. ",Stephen Raw,The Royal Mint,Private Collection: Mary Nelson,2019,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,1/8602000,£4.00
coin035,CoinDiversityfBackgroundRemoved.png,Diversity Built Britain (obverse),image/png,Monarch,"Depicts Royal Mint engraver, Jody Clark's, portrait of Queen Elizabeth II. Clark designed the fith and final portrait of Queen Elizabeth II for the obverse British coin design. This design was chosen from a design competition, which Clark submitted anonymously. Theis was the first time an employee of the Royal Mint designed the portrait of the monarch in over a century. ",Jody Clark,The Royal Mint,Private Collection: Mary Nelson,2020,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,1/10300000,£4.50
