objectid,filename,title,format,subject,description,creator,producer,source,date,rightsstatement,rights,language,location,multiplecoins,rarity,value
coin011,CoinTableTennisfBackgroundRemoved.png,London 2012 - Table Tennis,image/png,Monarch,"Depicts sculptor, Ian Rank-Broadley's, portrait of Queen Elizabeth II. It was used for British coins from 1998-2015. Rank-Broadley is best known for his coin designs and the memorial statue of Princess Diana at Kensington Palace in 2021 to commemorate her 60th birthday.",Ian Rank-Broadley,The Royal Mint,,2011,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin012,CoinTableTennisbBackgroundRemoved.png,London 2012 - Table Tennis,image/png,Historical Event,"Depicts a design celebrating Table Tennis, one of the 26 different sports that made up the programme at the London 2012 Summer Olympic Games. Table Tennis first appeared as part of the 1988 Summer Olympic Games in Seoul, South Korea. The Royal Mint issued 29 coins for the event depicting various sports in the Summer Olympic and Paraolympic Games. The coins were released in the 2011, with the exception of the ""Athletics"" coin in 2009. The 2012 Games marked the third time London hosted, the first city to do so. The United States topped the charts with a total of 104 medals, 48 gold, 26 silver, and 30 bronze. ",Alan Linsdell,The Royal Mint,,2011,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin013,CoinCommonwealthGamesfBackgroundRemoved.png,The Glasgow 2014 Commonwealth Games,image/png,Monarch,"Depicts sculptor, Ian Rank-Broadley's, portrait of Queen Elizabeth II. It was used for British coins from 1998-2015. Rank-Broadley is best known for his coin designs and the memorial statue of Princess Diana at Kensington Palace in 2021 to commemorate her 60th birthday.",Ian Rank-Broadley,The Royal Mint,,2014,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin014,CoinCommonwealthGamesbBackgroundRemoved.png,The Glasgow 2014 Commonwealth Games,image/png,Historical Event,,Alex Loudon;Dan Flashman,The Royal Mint,,2014,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin015,CoinBeatrixPotterfBackgroundRemoved.png,The 150th Anniversary of the Birth of Beatrix Potter,image/png,Monarch,"Depicts Royal Mint engraver, Jody Clark's, portrait of Queen Elizabeth II. Clark designed the fith and final portrait of Queen Elizabeth II for the obverse British coin design. This design was chosen from a design competition, which Clark submitted anonymously. Theis was the first time an employee of the Royal Mint designed the portrait of the monarch in over a century. ",Jody Clark,The Royal Mint,,2016,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin016,CoinBeatrixPotterbBackgroundRemoved.png,The 150th Anniversary of the Birth of Beatrix Potter,image/png,Cultural Contribution,,Emma Noble,The Royal Mint,,2016,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin017,CoinTiggyWinklefBackgroundRemoved.png,Beatrix Potter - Mrs. Tiggy-Winkle,image/png,Monarch,"Depicts Royal Mint engraver, Jody Clark's, portrait of Queen Elizabeth II. Clark designed the fith and final portrait of Queen Elizabeth II for the obverse British coin design. This design was chosen from a design competition, which Clark submitted anonymously. Theis was the first time an employee of the Royal Mint designed the portrait of the monarch in over a century. ",Jody Clark,The Royal Mint,,2016,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin018,CoinTiggyWinklebBackgroundRemoved.png,Beatrix Potter - Mrs. Tiggy-Winkle,image/png,Pop Culture,,Emma Noble,The Royal Mint,,2016,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin019,CoinPeterRabbitfBackgroundRemoved.png,Beatrix Potter - The Tale of Peter Rabbit,image/png,Monarch,"Depicts Royal Mint engraver, Jody Clark's, portrait of Queen Elizabeth II. Clark designed the fith and final portrait of Queen Elizabeth II for the obverse British coin design. This design was chosen from a design competition, which Clark submitted anonymously. Theis was the first time an employee of the Royal Mint designed the portrait of the monarch in over a century. ",Jody Clark,The Royal Mint,,2016,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin020,CoinPeterRabbitbBackgroundRemoved.png,Beatrix Potter - The Tale of Peter Rabbit,image/png,Pop Culture,,Emma Noble,The Royal Mint,,2016,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin021,CoinTomKittenfBackgroundRemoved.png,Beatrix Potter - Tom Kitten,image/png,Monarch,"Depicts Royal Mint engraver, Jody Clark's, portrait of Queen Elizabeth II. Clark designed the fith and final portrait of Queen Elizabeth II for the obverse British coin design. This design was chosen from a design competition, which Clark submitted anonymously. Theis was the first time an employee of the Royal Mint designed the portrait of the monarch in over a century. ",Jody Clark,The Royal Mint,,2017,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin022,CoinTomKittenbBackgroundRemoved.png,Beatrix Potter - Tom Kitten,image/png,Pop Culture,,Emma Noble,The Royal Mint,,2017,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin023,CoinJeremyFisherfBackgroundRemoved.png,Beatrix Potter - Mr. Jeremy Fisher,image/png,Monarch,"Depicts Royal Mint engraver, Jody Clark's, portrait of Queen Elizabeth II. Clark designed the fith and final portrait of Queen Elizabeth II for the obverse British coin design. This design was chosen from a design competition, which Clark submitted anonymously. Theis was the first time an employee of the Royal Mint designed the portrait of the monarch in over a century. ",Jody Clark,The Royal Mint,,2017,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin024,CoinJeremyFisherbBackgroundRemoved.png,Beatrix Potter - Mr. Jeremy Fisher,image/png,Pop Culture,,Emma Noble,The Royal Mint,,2017,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin025,CoinBenjaminBunnyfBackgroundRemoved.png,Beatrix Potter - Benjamin Bunny,image/png,Monarch,"Depicts Royal Mint engraver, Jody Clark's, portrait of Queen Elizabeth II. Clark designed the fith and final portrait of Queen Elizabeth II for the obverse British coin design. This design was chosen from a design competition, which Clark submitted anonymously. Theis was the first time an employee of the Royal Mint designed the portrait of the monarch in over a century. ",Jody Clark,The Royal Mint,,2017,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin026,CoinBenjaminBunnybBackgroundRemoved.png,Beatrix Potter - Benjamin Bunny,image/png,Pop Culture,,Emma Noble,The Royal Mint,,2017,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin027,CoinQE2CoronationfBackgroundRemoved.png,Isle of Man Sapphire Jubilee - The Imperial State Crown,image/png,Monarch,"Depicts Royal Mint engraver, Jody Clark's, portrait of Queen Elizabeth II. Clark designed the fith and final portrait of Queen Elizabeth II for the obverse British coin design. This design was chosen from a design competition, which Clark submitted anonymously. Theis was the first time an employee of the Royal Mint designed the portrait of the monarch in over a century. ",Jody Clark,The Royal Mint,,2018,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,Isle of Man,,,
coin028,CoinQE2CoronationbBackgroundRemoved.png,Isle of Man Sapphire Jubilee - The Imperial State Crown,image/png,Historical Event,,?,The Royal Mint,,2018,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,Isle of Man,,,
coin029,CoinPeoplesActfBackgroundRemoved.png,The 100th Anniversary of the Passing of the Represntation of the People Act 1918,image/png,Monarch,"Depicts Royal Mint engraver, Jody Clark's, portrait of Queen Elizabeth II. Clark designed the fith and final portrait of Queen Elizabeth II for the obverse British coin design. This design was chosen from a design competition, which Clark submitted anonymously. Theis was the first time an employee of the Royal Mint designed the portrait of the monarch in over a century. ",Jody Clark,The Royal Mint,,2018,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin030,CoinPeoplesActbBackgroundRemoved.png,The 100th Anniversary of the Passing of the Represntation of the People Act 1918,image/png,Historical Event,,Stephen Taylor,The Royal Mint,,2018,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin031,CoinPaddingtonfBackgroundRemoved.png,Paddington at the Station,image/png,Monarch,"Depicts Royal Mint engraver, Jody Clark's, portrait of Queen Elizabeth II. Clark designed the fith and final portrait of Queen Elizabeth II for the obverse British coin design. This design was chosen from a design competition, which Clark submitted anonymously. Theis was the first time an employee of the Royal Mint designed the portrait of the monarch in over a century. ",Jody Clark,The Royal Mint,,2018,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin032,CoinPaddingtonbBackgroundRemoved.png,Paddington at the Station,image/png,Pop Culture,,David Knapton,The Royal Mint,,2018,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin033,CoinSherlockHolmesfBackgroundRemoved.png,Sherlock Holmes,image/png,Monarch,"Depicts Royal Mint engraver, Jody Clark's, portrait of Queen Elizabeth II. Clark designed the fith and final portrait of Queen Elizabeth II for the obverse British coin design. This design was chosen from a design competition, which Clark submitted anonymously. Theis was the first time an employee of the Royal Mint designed the portrait of the monarch in over a century. ",Jody Clark,The Royal Mint,,2019,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin034,CoinSherlockHolmesbBackgroundRemoved.png,Sherlock Holmes,image/png,Pop Culture,,Stephen Raw,The Royal Mint,,2019,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin035,CoinDiversityfBackgroundRemoved.png,Diversity Built Britain,image/png,Monarch,"Depicts Royal Mint engraver, Jody Clark's, portrait of Queen Elizabeth II. Clark designed the fith and final portrait of Queen Elizabeth II for the obverse British coin design. This design was chosen from a design competition, which Clark submitted anonymously. Theis was the first time an employee of the Royal Mint designed the portrait of the monarch in over a century. ",Jody Clark,The Royal Mint,,2020,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin036,CoinDiversitybBackgroundRemoved.png,Diversity Built Britain,image/png,Political Statement;Cultural Contribution,,Dominique Evans,The Royal Mint,,2020,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
,featureimage.jpeg,,image/jpeg,,,,,,,,,,,,,
